site_slug,date,day_active,slot_count
crawley,Sunday 27 September 2026,True,2
crawley,Monday 28 September 2026,True,1
crawley,Tuesday 29 September 2026,True,8
crawley,Wednesday 30 September 2026,True,3
crawley,Thursday 1 October 2026,True,9
crawley,Friday 2 October 2026,True,4
crawley,Saturday 3 October 2026,True,0
crawley,Sunday 4 October 2026,True,0
crawley,Monday 5 October 2026,True,4
crawley,Tuesday 6 October 2026,True,6
crawley,Wednesday 7 October 2026,False,0
crawley,Thursday 8 October 2026,False,0
crawley,Friday 9 October 2026,False,0
crawley,Saturday 10 October 2026,False,0
crawley,Sunday 11 October 2026,False,0
croydon,Monday 21 September 2026,False,0
croydon,Tuesday 22 September 2026,False,0
croydon,Wednesday 23 September 2026,True,0
croydon,Thursday 24 September 2026,True,0
croydon,Friday 25 September 2026,True,0
croydon,Saturday 26 September 2026,True,0
croydon,Sunday 27 September 2026,True,0
croydon,Monday 28 September 2026,True,0
croydon,Tuesday 29 September 2026,True,0
croydon,Wednesday 30 September 2026,True,0
croydon,Thursday 1 October 2026,True,0
croydon,Friday 2 October 2026,True,0
croydon,Saturday 3 October 2026,True,0
croydon,Sunday 4 October 2026,True,0
croydon,Monday 5 October 2026,True,0
croydon,Tuesday 6 October 2026,True,0
croydon,Wednesday 7 October 2026,False,0
croydon,Thursday 8 October 2026,False,0
croydon,Friday 9 October 2026,False,0
croydon,Saturday 10 October 2026,False,0
croydon,Sunday 11 October 2026,False,0
croydon-central,Monday 21 September 2026,False,0
croydon-central,Tuesday 22 September 2026,False,0
croydon-central,Wednesday 23 September 2026,True,0
croydon-central,Thursday 24 September 2026,True,0
croydon-central,Friday 25 September 2026,True,0
croydon-central,Saturday 26 September 2026,True,0
croydon-central,Sunday 27 September 2026,True,0
croydon-central,Monday 28 September 2026,True,0
croydon-central,Tuesday 29 September 2026,True,1
croydon-central,Wednesday 30 September 2026,True,0
croydon-central,Thursday 1 October 2026,True,2
croydon-central,Friday 2 October 2026,True,0
croydon-central,Saturday 3 October 2026,True,0
croydon-central,Sunday 4 October 2026,True,0
croydon-central,Monday 5 October 2026,True,0
croydon-central,Tuesday 6 October 2026,True,5
croydon-central,Wednesday 7 October 2026,False,0
croydon-central,Thursday 8 October 2026,False,0
croydon-central,Friday 9 October 2026,False,0
croydon-central,Saturday 10 October 2026,False,0
croydon-central,Sunday 11 October 2026,False,0
cwmbran,Monday 21 September 2026,False,0
cwmbran,Tuesday 22 September 2026,False,0
cwmbran,Wednesday 23 September 2026,True,0
cwmbran,Thursday 24 September 2026,True,0
cwmbran,Friday 25 September 2026,True,0
cwmbran,Saturday 26 September 2026,True,0
cwmbran,Sunday 27 September 2026,True,0
cwmbran,Monday 28 September 2026,True,0
cwmbran,Tuesday 29 September 2026,True,0
cwmbran,Wednesday 30 September 2026,True,6
cwmbran,Thursday 1 October 2026,True,0
cwmbran,Friday 2 October 2026,True,0
cwmbran,Saturday 3 October 2026,True,0
cwmbran,Sunday 4 October 2026,True,0
cwmbran,Monday 5 October 2026,True,0
cwmbran,Tuesday 6 October 2026,True,0
cwmbran,Wednesday 7 October 2026,False,0
cwmbran,Thursday 8 October 2026,False,0
cwmbran,Friday 9 October 2026,False,0
